ENTITY_NAME,ENTITY_TYPE
Andorra,COUNTRY
United Arab Emirates,COUNTRY
Afghanistan,COUNTRY
Antigua and Barbuda,COUNTRY
Anguilla,COUNTRY
Albania,COUNTRY
Armenia,COUNTRY
Netherlands Antilles,COUNTRY
Angola,COUNTRY
Antarctica,COUNTRY
Argentina,COUNTRY
American Samoa,COUNTRY
Austria,COUNTRY
Australia,COUNTRY
Aruba,COUNTRY
Azerbaijan,COUNTRY
Bosnia and Herzegovina,COUNTRY
Barbados,COUNTRY
Bangladesh,COUNTRY
Belgium,COUNTRY
Burkina Faso,COUNTRY
Bulgaria,COUNTRY
Bahrain,COUNTRY
Burundi,COUNTRY
Benin,COUNTRY
Bermuda,COUNTRY
Brunei,COUNTRY
Bolivia,COUNTRY
Brazil,COUNTRY
Bahamas,COUNTRY
Bhutan,COUNTRY
Bouvet Island,COUNTRY
Botswana,COUNTRY
Belarus,COUNTRY
Belize,COUNTRY
Canada,COUNTRY
Cocos [Keeling] Islands,COUNTRY
Congo [DRC],COUNTRY
Central African Republic,COUNTRY
Congo [Republic],COUNTRY
Switzerland,COUNTRY
Côte d'Ivoire,COUNTRY
Cook Islands,COUNTRY
Chile,COUNTRY
Cameroon,COUNTRY
China,COUNTRY
Colombia,COUNTRY
Costa Rica,COUNTRY
Cuba,COUNTRY
Cape Verde,COUNTRY
Christmas Island,COUNTRY
Cyprus,COUNTRY
Czech Republic,COUNTRY
Germany,COUNTRY
Djibouti,COUNTRY
Denmark,COUNTRY
Dominica,COUNTRY
Dominican Republic,COUNTRY
Algeria,COUNTRY
Ecuador,COUNTRY
Estonia,COUNTRY
Egypt,COUNTRY
Western Sahara,COUNTRY
Eritrea,COUNTRY
Spain,COUNTRY
Ethiopia,COUNTRY
Finland,COUNTRY
Fiji,COUNTRY
Falkland Islands [Islas Malvinas],COUNTRY
Micronesia,COUNTRY
Faroe Islands,COUNTRY
France,COUNTRY
Gabon,COUNTRY
United Kingdom,COUNTRY
Grenada,COUNTRY
Georgia,COUNTRY
French Guiana,COUNTRY
Guernsey,COUNTRY
Ghana,COUNTRY
Gibraltar,COUNTRY
Greenland,COUNTRY
Gambia,COUNTRY
Guinea,COUNTRY
Guadeloupe,COUNTRY
Equatorial Guinea,COUNTRY
Greece,COUNTRY
South Georgia and the South Sandwich Islands,COUNTRY
Guatemala,COUNTRY
Guam,COUNTRY
Guinea-Bissau,COUNTRY
Guyana,COUNTRY
Gaza Strip,COUNTRY
Hong Kong,COUNTRY
Heard Island and McDonald Islands,COUNTRY
Honduras,COUNTRY
Croatia,COUNTRY
Haiti,COUNTRY
Hungary,COUNTRY
Indonesia,COUNTRY
Ireland,COUNTRY
Israel,COUNTRY
Isle of Man,COUNTRY
India,COUNTRY
British Indian Ocean Territory,COUNTRY
Iraq,COUNTRY
Iran,COUNTRY
Iceland,COUNTRY
Italy,COUNTRY
Jersey,COUNTRY
Jamaica,COUNTRY
Jordan,COUNTRY
Japan,COUNTRY
Kenya,COUNTRY
Kyrgyzstan,COUNTRY
Cambodia,COUNTRY
Kiribati,COUNTRY
Comoros,COUNTRY
Saint Kitts and Nevis,COUNTRY
North Korea,COUNTRY
South Korea,COUNTRY
Kuwait,COUNTRY
Cayman Islands,COUNTRY
Kazakhstan,COUNTRY
Laos,COUNTRY
Lebanon,COUNTRY
Saint Lucia,COUNTRY
Liechtenstein,COUNTRY
Sri Lanka,COUNTRY
Liberia,COUNTRY
Lesotho,COUNTRY
Lithuania,COUNTRY
Luxembourg,COUNTRY
Latvia,COUNTRY
Libya,COUNTRY
Morocco,COUNTRY
Monaco,COUNTRY
Moldova,COUNTRY
Montenegro,COUNTRY
Madagascar,COUNTRY
Marshall Islands,COUNTRY
Macedonia [FYROM],COUNTRY
Mali,COUNTRY
Myanmar [Burma],COUNTRY
Mongolia,COUNTRY
Macau,COUNTRY
Northern Mariana Islands,COUNTRY
Martinique,COUNTRY
Mauritania,COUNTRY
Montserrat,COUNTRY
Malta,COUNTRY
Mauritius,COUNTRY
Maldives,COUNTRY
Malawi,COUNTRY
Mexico,COUNTRY
Malaysia,COUNTRY
Mozambique,COUNTRY
Namibia,COUNTRY
New Caledonia,COUNTRY
Niger,COUNTRY
Norfolk Island,COUNTRY
Nigeria,COUNTRY
Nicaragua,COUNTRY
Netherlands,COUNTRY
Norway,COUNTRY
Nepal,COUNTRY
Nauru,COUNTRY
Niue,COUNTRY
New Zealand,COUNTRY
Oman,COUNTRY
Panama,COUNTRY
Peru,COUNTRY
French Polynesia,COUNTRY
Papua New Guinea,COUNTRY
Philippines,COUNTRY
Pakistan,COUNTRY
Poland,COUNTRY
Saint Pierre and Miquelon,COUNTRY
Pitcairn Islands,COUNTRY
Puerto Rico,COUNTRY
Palestinian Territories,COUNTRY
Portugal,COUNTRY
Palau,COUNTRY
Paraguay,COUNTRY
Qatar,COUNTRY
Réunion,COUNTRY
Romania,COUNTRY
Serbia,COUNTRY
Russia,COUNTRY
Rwanda,COUNTRY
Saudi Arabia,COUNTRY
Solomon Islands,COUNTRY
Seychelles,COUNTRY
Sudan,COUNTRY
Sweden,COUNTRY
Singapore,COUNTRY
Saint Helena,COUNTRY
Slovenia,COUNTRY
Svalbard and Jan Mayen,COUNTRY
Slovakia,COUNTRY
Sierra Leone,COUNTRY
San Marino,COUNTRY
Senegal,COUNTRY
Somalia,COUNTRY
Suriname,COUNTRY
São Tomé and Príncipe,COUNTRY
El Salvador,COUNTRY
Syria,COUNTRY
Swaziland,COUNTRY
Turks and Caicos Islands,COUNTRY
Chad,COUNTRY
French Southern Territories,COUNTRY
Togo,COUNTRY
Thailand,COUNTRY
Tajikistan,COUNTRY
Tokelau,COUNTRY
Timor-Leste,COUNTRY
Turkmenistan,COUNTRY
Tunisia,COUNTRY
Tonga,COUNTRY
Turkey,COUNTRY
Trinidad and Tobago,COUNTRY
Tuvalu,COUNTRY
Taiwan,COUNTRY
Tanzania,COUNTRY
Ukraine,COUNTRY
Uganda,COUNTRY
U.S. Minor Outlying Islands,COUNTRY
United States,COUNTRY
Uruguay,COUNTRY
Uzbekistan,COUNTRY
Vatican City,COUNTRY
Saint Vincent and the Grenadines,COUNTRY
Venezuela,COUNTRY
British Virgin Islands,COUNTRY
U.S. Virgin Islands,COUNTRY
Vietnam,COUNTRY
Vanuatu,COUNTRY
Wallis and Futuna,COUNTRY
Samoa,COUNTRY
Kosovo,COUNTRY
Yemen,COUNTRY
Mayotte,COUNTRY
South Africa,COUNTRY
Zambia,COUNTRY
Zimbabwe,COUNTRY
UAE Dirham,CURRENCY
Afghani,CURRENCY
Lek,CURRENCY
Armenian Dram,CURRENCY
Netherlands Antillian Guilder,CURRENCY
Kwanza,CURRENCY
Argentine Peso,CURRENCY
Australian Dollar,CURRENCY
Aruban Guilder,CURRENCY
Azerbaijanian Manat,CURRENCY
Convertible Marks,CURRENCY
Barbados Dollar,CURRENCY
Taka,CURRENCY
Bulgarian Lev,CURRENCY
Bahraini Dinar,CURRENCY
Burundi Franc,CURRENCY
Bermudian Dollar (customarily known as Bermuda Dollar),CURRENCY
Brunei Dollar,CURRENCY
Boliviano Mvdol,CURRENCY
Brazilian Real,CURRENCY
Bahamian Dollar,CURRENCY
Pula,CURRENCY
Belarussian Ruble,CURRENCY
Belize Dollar,CURRENCY
Canadian Dollar,CURRENCY
Congolese Franc,CURRENCY
Swiss Franc,CURRENCY
Chilean Peso Unidades de fomento,CURRENCY
Yuan Renminbi,CURRENCY
Colombian Peso Unidad de Valor Real,CURRENCY
Costa Rican Colon,CURRENCY
Cuban Peso Peso Convertible,CURRENCY
Cape Verde Escudo,CURRENCY
Czech Koruna,CURRENCY
Djibouti Franc,CURRENCY
Danish Krone,CURRENCY
Dominican Peso,CURRENCY
Algerian Dinar,CURRENCY
Kroon,CURRENCY
Egyptian Pound,CURRENCY
Nakfa,CURRENCY
Ethiopian Birr,CURRENCY
Euro,CURRENCY
Fiji Dollar,CURRENCY
Falkland Islands Pound,CURRENCY
Pound Sterling,CURRENCY
Lari,CURRENCY
Cedi,CURRENCY
Gibraltar Pound,CURRENCY
Dalasi,CURRENCY
